"MARKETCAP","NAME","TICKER"
"3454242000","Armstrong World Industries Inc","AWI"
"16262150000","American Water Works Company Inc","AWK"
"2267135040","American States Water Co","AWR"
"79676","Aware Inc","AWRE"
"17640000","Cool Holdings, Inc.","AWSM"
"11720588","Avalon Holdings Corp","AWX"
"2273271687","BofI Holding Inc","AX"
"15193508980","XL Group Ltd","AXAHF3670215"
"358401540","Abraxas Petroleum Corp","AXAS"
"942840000","Accelerate Diagnostics Inc","AXDX"
"2175580000","Anixter International Inc","AXE"
"1221703000","AxoGen Inc","AXGN"
"1806747500","American Axle & Manufacturing Holdings Inc","AXL"
"225388500","Axovant Sciences Ltd","AXON"
"89949700000","American Express Co","AXP"
"57843","AMREP Corp","AXR"
"4707303200","AXIS Capital Holdings Ltd","AXS"
"70908000","Axsome Therapeutics Inc","AXSM"
"4707303200","AXIS Capital Holdings Ltd","AXSpD"
"4707303200","AXIS Capital Holdings Ltd","AXSpE"
"6567510000","Axalta Coating Systems Ltd","AXTA"
"243306800","AXT Inc","AXTI"
"4930875000","Acuity Brands Inc","AYI"
"1618201355","Aircastle Ltd","AYR"
"2867088000","Alteryx Inc","AYX"
"21322359090","Autozone Inc","AZO"
"7394090600","Aspen Technology Inc","AZPN"
"34500000","AzurRx BioPharma Inc","AZRX"
"1153682460","AZZ Inc","AZZ"
"3385809480","Barnes Group Inc","B"
"216541521000","Boeing Co","BA"
"1088618670","Natus Medical Inc","BABY"
"317694165300","Bank of America Corp","BAC"
"317694165300","Bank of America Corp","BACpA"
"317694165300","Bank of America Corp","BACpB"
"317694165300","Bank of America Corp","BACpC"
"317694165300","Bank of America Corp","BACpE"
"317694165300","Bank of America Corp","BACpK"
"317694165300","Bank of America Corp","BACpL"
"317694165300","Bank of America Corp","BACpW"
"317694165300","Bank of America Corp","BACpY"
"317694165300","Bank of America Corp","BAC.WS.A"
"317694165300","Bank of America Corp","BAC.WS.B"
"6917239124","Booz Allen Hamilton Holding Corp","BAH"
"1005801000","Banc of California Inc","BANC"
"1005801000","Banc of California Inc","BANCpD"
"1005801000","Banc of California Inc","BANCpE"
