ticker,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
ALQA,,,,24961362.0,12428703.0,11777489.0,51769444.0,77533599.0,49352532.0,16520000.0,7783000.0,10802000.0
ALRM,,,,,,,,,402127478.0,1332375777.0,1855561537.0,2277361019.0
ALRN,,,,,,,,,,,77996000.0,37444000.0
ALSK,,,276060579.0,424067095.0,128488960.0,89003320.0,125306840.0,88307860.0,89894000.0,85588320.0,139981760.0,92148480.0
ALSN,,,,,,3350782836.0,4675116470.0,5687371712.0,4338142936.0,5510374038.0,6350992636.0,6603520000.0
ALT,,,,35213366.0,15487871.0,13944656.0,24277606.0,26831716.0,31323765.0,57778699.0,25472000.0,4094163.0
ALTR,,,,,,,,,3167937640.0,,1254986720.0,2553639845.0
ALV,,887731224.0,2126696457.0,4276330420.0,3019179755.0,3984596099.0,5612667821.0,6386510040.0,7322705725.0,6784777472.0,7725898182.0,7054928000.0
ALX,,,836121347.0,1158014332.0,1070111481.0,1354212712.0,1400430383.0,1921910102.0,1741986292.0,2017006421.0,1947712738.0,1714620000.0
ALXN,,3255905730.0,4422213240.0,7494130350.0,13714129000.0,18607483740.0,26538529408.0,37376060000.0,41182925000.0,27687805000.0,26955586000.0,27050352000.0
AM,,,,,,,,1807344980.0,3220063995.0,5053977488.0,5196058366.0,6271406640.0
AMAG,,609199050.0,650655270.0,376588600.0,400683990.0,314676320.0,526948840.0,1075089500.0,1065948520.0,1195240800.0,462517750.0,776597000.0
AMAT,20447443279.0,11405448504.0,15536856984.0,16205057889.0,12480986509.0,13203964097.0,19985533250.0,28998560006.0,22091209238.0,35322346017.0,54842409272.0,33712725000.0
AMBA,,,,,,105588493.0,1028738745.0,1642441719.0,1889541519.0,1872897567.0,2018584964.0,1114502550.0
AMBC,,,,,,,1105260491.0,1104785948.0,636495207.0,1017279315.0,724979553.0,872546408.0
AMBCW,,,,,,,1105260491.0,1104785948.0,636495207.0,1017279315.0,724979553.0,872546408.0
AMBR,,,,,,,,210774827.0,133358000.0,243344000.0,202584000.0,241902000.0
AMC,,,,,,,1244351704.0,2074999063.0,1963088515.0,2852381947.0,1735426353.0,2414779250.0
